"(tBodyAccMean,gravity)" "(tBodyAccJerkMean),gravityMean)" "(tBodyGyroMean,gravityMean)" "(tBodyGyroJerkMean,gravityMean)" "(X,gravityMean)" "(Y,gravityMean)" "(Z,gravityMean)" "label" "class" "subject"
"1" -0.11275434 0.030400372 -0.46476139 -0.018445884 -0.84124676 0.17994061 -0.058626924 "standing" "train" "1"
"2" 0.053476955 -0.0074345661 -0.73262621 0.70351059 -0.8447876 0.18028889 -0.054316717 "standing" "train" "1"
"3" -0.11855926 0.17789948 0.10069921 0.80852908 -0.84893347 0.18063731 -0.049117815 "standing" "train" "1"
"4" -0.036787973 -0.012892494 0.64001104 -0.48536645 -0.84864938 0.18193476 -0.047663183 "standing" "train" "1"
"5" 0.12332005 0.12254196 0.69357829 -0.61597061 -0.84786525 0.18515116 -0.043892254 "standing" "train" "1"
"6" 0.082632155 -0.14343901 0.27504075 -0.36822404 -0.84963158 0.18482251 -0.042126383 "standing" "train" "1"
"7" -0.21275406 -0.23062193 0.01463669 -0.18951153 -0.85215025 0.18216997 -0.043009987 "standing" "train" "1"
"8" -0.020888015 0.59399581 -0.56187067 0.46738333 -0.85101671 0.18377851 -0.041975833 "standing" "train" "1"
"9" 0.012954021 0.080936389 -0.23431263 0.11779701 -0.84797148 0.18898248 -0.037363927 "standing" "train" "1"
"10" -0.020589646 -0.12773018 -0.48287054 -0.070670135 -0.84829438 0.19031033 -0.034417291 "standing" "train" "1"
"11" 0.080699469 0.59579055 -0.47580245 0.11593062 -0.85156175 0.18760932 -0.034681168 "standing" "train" "1"
"12" 0.0017609637 -0.065980273 0.57886112 -0.65194513 -0.8527234 0.18605036 -0.035852089 "standing" "train" "1"
"13" -0.077551723 -0.10122189 0.63908399 0.76548488 -0.85065446 0.18761054 -0.035997955 "standing" "train" "1"
"14" 0.10562047 -0.090277545 -0.1324028 0.49881419 -0.84977267 0.1888122 -0.035063399 "standing" "train" "1"
"15" 0.062296619 -0.05871932 0.031207971 -0.26879133 -0.73093729 0.28315855 0.036443909 "standing" "train" "1"
"16" -0.12185222 -0.029076714 -0.013034217 -0.056927156 -0.76110079 0.26311858 0.02417211 "standing" "train" "1"
