"mean" "std" "mad" "max" "min" "sma" "energy" "iqr" "entropy" "maxInds" "meanFreq" "skewness" "kurtosis" "label" "class" "subject"
"1" -0.95215466 -0.95613397 -0.94887014 -0.97432057 -0.92572179 -0.95215466 -0.9982852 -0.9732732 -0.64637645 -0.79310345 -0.08843612 -0.43647104 -0.79684048 "standing" "train" "1"
"2" -0.98085662 -0.97586576 -0.97577688 -0.97822635 -0.98691082 -0.98085662 -0.99947194 -0.98447923 -0.81667357 -1 -0.044149887 -0.12204037 -0.44952188 "standing" "train" "1"
"3" -0.98779477 -0.98901548 -0.98559356 -0.99306187 -0.98983636 -0.98779477 -0.99980673 -0.98923709 -0.90701426 -0.86206897 0.25789914 -0.61872514 -0.87968464 "standing" "train" "1"
"4" -0.98751866 -0.98674196 -0.98352367 -0.99022991 -0.99818503 -0.98751866 -0.99977021 -0.98321531 -0.90701426 -1 0.073581496 -0.46842226 -0.75649363 "standing" "train" "1"
"5" -0.99359085 -0.99006346 -0.99232413 -0.99050589 -0.98780516 -0.99359085 -0.9998731 -0.9973433 -0.90701426 -1 0.39431033 -0.11266294 -0.4818052 "standing" "train" "1"
"6" -0.99483599 -0.9952833 -0.99385116 -0.99536504 -0.98947223 -0.99483599 -0.99993904 -0.99216668 -1 -1 0.43796212 -0.5946439 -0.80918636 "standing" "train" "1"
"7" -0.98213471 -0.98477295 -0.98249004 -0.98862486 -0.97467067 -0.98213471 -0.99967648 -0.98956356 -0.84367061 -1 0.21996177 -0.47276567 -0.78376997 "standing" "train" "1"
"8" -0.98218413 -0.9751195 -0.97682912 -0.97516477 -0.9980253 -0.98218413 -0.99946993 -0.98676714 -0.85353087 -1 -0.10976272 0.080451123 -0.18372772 "standing" "train" "1"
"9" -0.9831308 -0.9766829 -0.97926401 -0.97792751 -0.98402192 -0.9831308 -0.99952032 -0.98876537 -0.90701426 -1 0.083767043 0.0375098 -0.2947921 "standing" "train" "1"
"10" -0.98499403 -0.98902313 -0.98782548 -0.99091377 -0.99613613 -0.98499403 -0.99977682 -0.99274406 -0.90701426 -1 0.42582119 -0.47776668 -0.76929939 "standing" "train" "1"
"11" -0.98569656 -0.98718871 -0.98676484 -0.98862772 -0.98558026 -0.98569656 -0.99975779 -0.99158183 -0.90701426 -1 0.38084257 -0.32131582 -0.65022749 "standing" "train" "1"
"12" -0.9951378 -0.99671395 -0.99471911 -0.99737079 -0.99297937 -0.9951378 -0.99995274 -0.99277243 -1 -0.93103448 0.51963263 -0.7655269 -0.93057052 "standing" "train" "1"
"13" -0.99595367 -0.99678792 -0.99623576 -0.99675935 -0.99465355 -0.99595367 -0.99995908 -0.99598175 -1 -1 0.49124359 -0.61681134 -0.82255146 "standing" "train" "1"
"14" -0.99775726 -0.99848118 -0.99773575 -0.9990776 -0.99473083 -0.99775726 -0.99998225 -0.99656495 -1 0.10344828 0.64707833 -0.79479213 -0.95306546 "standing" "train" "1"
"15" -0.90383853 -0.83625317 -0.88354181 -0.83321168 -0.9225832 -0.90383853 -0.98568034 -0.9705581 -0.53829907 -1 -0.32224521 0.59907423 0.43153537 "standing" "train" "1"
"16" -0.99136765 -0.98608288 -0.98524141 -0.99026567 -0.99427255 -0.99136765 -0.99979625 -0.99209322 -0.8734817 -0.93103448 -0.076785005 -0.34005494 -0.7067294 "standing" "train" "1"
"17" -0.99273157 -0.99011174 -0.98799344 -0.9941568 -0.99648651 -0.99273157 -0.99986681 -0.99110205 -0.94618223 -1 0.015215303 -0.54204085 -0.84788016 "standing" "train" "1"
"18" -0.99343349 -0.99230619 -0.99048642 -0.99402032 -0.99738066 -0.99343349 -0.9998989 -0.99324286 -0.94618223 -1 0.19494092 -0.57311576 -0.83731008 "standing" "train" "1"
"19" -0.99704386 -0.99731449 -0.9956196 -0.99797123 -0.98951841 -0.99704386 -0.99997018 -0.9952772 -1 0.44827586 0.53206601 -0.79306013 -0.94461524 "standing" "train" "1"
"20" -0.99989278 -0.99727464 -0.99710355 -0.99809984 -0.99348258 -0.99989278 -0.99998686 -0.99860496 -1 0.44827586 0.66003688 -0.57748411 -0.86062861 "standing" "train" "1"
"21" -0.99725253 -0.99819256 -0.99724765 -0.99911997 -0.98863413 -0.99725253 -0.9999773 -0.99818826 -1 -0.24137931 0.66457149 -0.83292595 -0.96462618 "standing" "train" "1"
"22" -0.99671069 -0.99781715 -0.99640334 -0.99825313 -0.99159559 -0.99671069 -0.99997137 -0.99411708 -1 -0.86206897 0.68400956 -0.85173399 -0.94714017 "standing" "train" "1"
"23" -0.99596298 -0.998191 -0.99671293 -0.99896053 -0.9909031 -0.99596298 -0.99996866 -0.99446943 -1 -0.17241379 0.63675107 -0.91095163 -0.9775483 "standing" "train" "1"
"24" -0.99508421 -0.9975563 -0.99635247 -0.99798807 -0.98529155 -0.99508421 -0.99995831 -0.99489082 -1 -0.93103448 0.60871588 -0.79520159 -0.94007582 "standing" "train" "1"
"25" -0.99427863 -0.99537148 -0.99439497 -0.99529685 -0.98481203 -0.99427863 -0.99993562 -0.99479742 -1 -0.44827586 0.48284287 -0.55620392 -0.77936756 "standing" "train" "1"
"26" -0.99363919 -0.99500518 -0.9933374 -0.99603375 -0.98308983 -0.99363919 -0.99992749 -0.99146693 -1 -0.72413793 0.49427509 -0.61619233 -0.8495369 "standing" "train" "1"
"27" -0.99638609 -0.99864097 -0.99825222 -0.99883873 -0.99187635 -0.99638609 -0.99997427 -0.99717918 -1 0.17241379 0.82097848 -0.8641723 -0.94072021 "standing" "train" "1"
"28" -0.44662992 -0.19941645 -0.35864225 -0.22448761 -0.19531749 -0.44662992 -0.66472232 -0.86361006 -0.10336335 -1 -0.33811215 0.42832475 0.19482511 "sitting" "train" "1"
"29" -0.95362658 -0.93096339 -0.95062368 -0.92572474 -0.93996083 -0.95362658 -0.9970138 -0.97881218 -0.69565438 -1 -0.087781605 0.65606381 0.54392943 "sitting" "train" "1"
"30" -0.97670695 -0.9712139 -0.97145278 -0.97763989 -0.98552478 -0.97670695 -0.99929022 -0.98715496 -0.81667357 -0.93103448 -0.10127908 -0.15284047 -0.5308796 "sitting" "train" "1"
"31" -0.61264851 -0.53386872 -0.56971946 -0.5798896 -0.79963571 -0.61264851 -0.87523456 -0.83466503 -0.062458527 -1 -0.24293782 0.14331407 -0.16925951 "sitting" "train" "1"
"32" -0.68219367 -0.4881476 -0.56621364 -0.53689258 -0.89882189 -0.68219367 -0.86636946 -0.85946451 -0.06323488 -1 -0.59724662 0.23357911 -0.07411487 "sitting" "train" "1"
"33" -0.69185852 -0.47811404 -0.65907776 -0.45642666 -0.65463618 -0.69185852 -0.8632297 -0.88540448 -0.30537751 -1 -0.26523161 0.75511587 0.66127785 "sitting" "train" "1"
"34" -0.90549594 -0.90262603 -0.90132679 -0.93386759 -0.87521346 -0.90549594 -0.99331243 -0.95980706 -0.43649868 -0.93103448 -0.1171333 -0.20399735 -0.61168847 "sitting" "train" "1"
"35" -0.96861566 -0.95600866 -0.95723704 -0.96183827 -0.97054833 -0.96861566 -0.99862551 -0.98689358 -0.75205571 -1 -0.21394221 -0.031712595 -0.38416172 "sitting" "train" "1"
"36" -0.99683806 -0.99428267 -0.99471872 -0.99373926 -0.99231342 -0.99683806 -0.99994398 -0.99537342 -0.94618223 -1 0.38033394 -0.28053688 -0.57325269 "sitting" "train" "1"
"37" -0.99835502 -0.99914369 -0.9987991 -0.99916311 -0.99265319 -0.99835502 -0.99998966 -0.99856571 -1 0.31034483 0.66066759 -0.78611256 -0.94149513 "sitting" "train" "1"
