"mean" "std" "mad" "max" "min" "sma" "energy" "iqr" "entropy" "maxInds" "meanFreq" "skewness" "kurtosis" "label" "class" "subject"
"1" -0.99372565 -0.99375495 -0.9919757 -0.99336472 -0.98817543 -0.99372565 -0.99991844 -0.99136366 -1 -0.93650794 0.34698853 -0.51608015 -0.80276003 "standing" "train" "1"
"2" -0.99033549 -0.99196029 -0.98973198 -0.99448884 -0.98954882 -0.99033549 -0.99986688 -0.99113389 -1 -0.84126984 0.53206052 -0.62487099 -0.90015998 "standing" "train" "1"
"3" -0.98928007 -0.99086668 -0.98727429 -0.99317883 -0.99988977 -0.98928007 -0.99984549 -0.98665762 -1 -0.9047619 0.66079504 -0.72469672 -0.92853938 "standing" "train" "1"
"4" -0.99276892 -0.99169983 -0.98905489 -0.99445455 -0.99556241 -0.99276892 -0.99989476 -0.98805524 -1 1 0.67892134 -0.70113068 -0.90963908 "standing" "train" "1"
"5" -0.99552281 -0.99438901 -0.99330548 -0.99548469 -0.98217718 -0.99552281 -0.99994087 -0.99416946 -1 -1 0.55905766 -0.52890134 -0.85893252 "standing" "train" "1"
"6" -0.99473292 -0.99515619 -0.99429862 -0.99448512 -0.98304828 -0.99473292 -0.99993696 -0.99669657 -1 -1 0.24690957 -0.52087925 -0.80252544 "standing" "train" "1"
"7" -0.9878858 -0.99054611 -0.98805487 -0.9935181 -0.97593936 -0.9878858 -0.9998239 -0.99134479 -1 -0.9047619 0.29017664 -0.66883517 -0.93344267 "standing" "train" "1"
"8" -0.98985144 -0.98979026 -0.98665688 -0.99421979 -0.98020222 -0.98985144 -0.99984516 -0.98967639 -1 -0.96825397 0.24979894 -0.65550271 -0.93256307 "standing" "train" "1"
"9" -0.99207263 -0.99289011 -0.99063032 -0.99511917 -0.99612838 -0.99207263 -0.99989434 -0.99237054 -1 -1 0.27234235 -0.75048514 -0.92947437 "standing" "train" "1"
"10" -0.98231683 -0.98405698 -0.97990393 -0.98610709 -0.98331942 -0.98231683 -0.99967977 -0.97914396 -1 -1 0.25088355 -0.51011582 -0.80191873 "standing" "train" "1"
"11" -0.98476304 -0.98661714 -0.98349028 -0.98766635 -0.9962154 -0.98476304 -0.9997449 -0.98366563 -1 -1 0.50187561 -0.51675579 -0.7858716 "standing" "train" "1"
"12" -0.99472936 -0.99480169 -0.99279997 -0.99613867 -0.99261641 -0.99472936 -0.99993504 -0.99391242 -1 -0.87301587 0.69936213 -0.63922246 -0.91392647 "standing" "train" "1"
"13" -0.99681887 -0.99631669 -0.99547786 -0.99520032 -0.98824594 -0.99681887 -0.99996322 -0.99477247 -1 -0.9047619 0.53634844 -0.52272531 -0.78051879 "standing" "train" "1"
"14" -0.99553335 -0.99545097 -0.9939131 -0.9954865 -0.99113787 -0.99553335 -0.99994663 -0.99428762 -1 -0.9047619 0.53008832 -0.60610621 -0.86877365 "standing" "train" "1"
"15" -0.98902608 -0.98780475 -0.9837001 -0.98972187 -0.99810163 -0.98902608 -0.99981821 -0.98377218 -1 -1 0.16897904 -0.52187775 -0.81839551 "standing" "train" "1"
"16" -0.99681501 -0.99757854 -0.99607023 -0.9982311 -0.97777645 -0.99681501 -0.99996878 -0.99577539 -1 -0.84126984 0.54385269 -0.71233995 -0.95845037 "standing" "train" "1"
"17" -0.99885264 -0.99774096 -0.99653176 -0.99736382 -0.99792746 -0.99885264 -0.99998714 -0.99470156 -1 -0.9047619 0.63655806 -0.77338318 -0.91191877 "standing" "train" "1"
"18" -0.99635004 -0.99609913 -0.99554138 -0.99644701 -0.99360124 -0.99635004 -0.99995779 -0.99806776 -1 -0.9047619 0.48518842 -0.60930274 -0.88518413 "standing" "train" "1"
"19" -0.99674065 -0.99704535 -0.99618089 -0.99692146 -0.98858051 -0.99674065 -0.99996582 -0.99732686 -1 -0.93650794 0.43731909 -0.65308988 -0.89330775 "standing" "train" "1"
"20" -0.99947946 -0.99958203 -0.9991519 -0.99855112 -0.99238215 -0.99947946 -0.9999989 -0.99772484 -1 -0.55555556 0.60844786 -0.77133935 -0.92610146 "standing" "train" "1"
"21" -0.99832359 -0.995093 -0.99407293 -0.9962269 -0.98841586 -0.99832359 -0.99997041 -0.99603532 -1 -0.80952381 0.28475946 -0.4846369 -0.84014373 "standing" "train" "1"
"22" -0.99449599 -0.99278698 -0.99255375 -0.99337117 -0.9904769 -0.99449599 -0.99992087 -0.99613407 -1 -0.96825397 0.37712092 -0.39631773 -0.77871337 "standing" "train" "1"
"23" -0.99258499 -0.99181646 -0.99138948 -0.98998774 -0.99696908 -0.99258499 -0.99989342 -0.99338827 -1 -1 0.49293471 -0.22037489 -0.52091471 "standing" "train" "1"
"24" -0.99429146 -0.99276945 -0.98948408 -0.99476413 -0.99585329 -0.99429146 -0.99991859 -0.98749858 -1 -1 0.36203326 -0.68169816 -0.9278928 "standing" "train" "1"
"25" -0.99444815 -0.99520624 -0.99387557 -0.99600037 -0.98573895 -0.99444815 -0.99993423 -0.99469336 -1 -0.87301587 0.36154353 -0.6259766 -0.88528127 "standing" "train" "1"
"26" -0.99439824 -0.99426938 -0.99156506 -0.99624843 -0.99697367 -0.99439824 -0.99992864 -0.98948109 -1 -0.65079365 0.33791454 -0.76625666 -0.95549576 "standing" "train" "1"
