"mean" "std" "mad" "max" "min" "sma" "energy" "iqr" "entropy" "maxInds" "meanFreq" "skewness" "kurtosis" "label" "class" "subject"
"1" -0.99199044 -0.99069746 -0.98994084 -0.99244784 -0.99104773 -0.99199044 -0.99993676 -0.99045792 -0.8713058 -1 -0.074323027 -0.29867637 -0.71030407 "standing" "train" "1"
"2" -0.99585386 -0.99639947 -0.99544209 -0.99686602 -0.99443965 -0.99585386 -0.99998065 -0.99454373 -1 -1 0.15807454 -0.59505094 -0.86149931 "standing" "train" "1"
"3" -0.9950305 -0.99512739 -0.99463957 -0.9960596 -0.99586627 -0.9950305 -0.99997314 -0.99375529 -1 -0.55555556 0.41450281 -0.39074815 -0.76010372 "standing" "train" "1"
"4" -0.99522071 -0.99523693 -0.9957222 -0.99527312 -0.99573175 -0.99522071 -0.99997442 -0.995226 -0.95569589 -0.93650794 0.40457253 -0.1172902 -0.48284451 "standing" "train" "1"
"5" -0.99509278 -0.99546483 -0.99527866 -0.99560929 -0.99741797 -0.99509278 -0.99997448 -0.99548682 -1 -0.93650794 0.087753013 -0.35147093 -0.69920515 "standing" "train" "1"
"6" -0.99514331 -0.9952387 -0.99439787 -0.99608795 -0.99851938 -0.99514331 -0.99997404 -0.99453048 -1 -1 0.01995331 -0.54541011 -0.8446193 "standing" "train" "1"
"7" -0.99564148 -0.99463909 -0.99420219 -0.99449064 -0.996934 -0.99564148 -0.9999745 -0.99393973 -0.95569589 -1 0.14584351 -0.21719818 -0.56443048 "standing" "train" "1"
"8" -0.99562912 -0.99450684 -0.99472729 -0.99401822 -0.99700639 -0.99562912 -0.99997399 -0.99542254 -0.95569589 -1 0.13638192 -0.082306972 -0.42171544 "standing" "train" "1"
"9" -0.99526037 -0.99600721 -0.99582848 -0.99548184 -0.9936077 -0.99526037 -0.99997684 -0.99509545 -0.95569589 -1 0.31403783 -0.26940126 -0.57299535 "standing" "train" "1"
"10" -0.99098121 -0.99059941 -0.99166529 -0.98819929 -0.98487666 -0.99098121 -0.99992908 -0.99045596 -0.95569589 -1 0.2673825 0.33952607 0.14045152 "standing" "train" "1"
"11" -0.99131428 -0.9892975 -0.99107015 -0.98729917 -0.98019716 -0.99131428 -0.99992428 -0.99156494 -0.92345186 -1 0.12050339 0.34877098 0.057681594 "standing" "train" "1"
"12" -0.99765225 -0.99787507 -0.99753789 -0.99842281 -0.9939496 -0.99765225 -0.99999102 -0.99772527 -1 -1 0.35144181 -0.61101364 -0.87836268 "standing" "train" "1"
"13" -0.99904671 -0.99905917 -0.99907436 -0.99910092 -0.99723427 -0.99904671 -0.9999971 -0.9990738 -1 -0.87301587 0.68989704 -0.68638894 -0.8787511 "standing" "train" "1"
"14" -0.999028 -0.99905443 -0.99898726 -0.99876701 -0.99464614 -0.999028 -0.99999704 -0.99878434 -1 -0.96825397 0.74002287 -0.5640998 -0.76590135 "standing" "train" "1"
"15" -0.99024194 -0.98927719 -0.99027759 -0.98743596 -0.99921381 -0.99024194 -0.9999161 -0.9920069 -0.92345186 -1 0.13095849 0.20768881 -0.068054281 "standing" "train" "1"
"16" -0.997604 -0.99883527 -0.99851426 -0.99919139 -0.98932326 -0.997604 -0.99999241 -0.9981078 -1 -0.079365079 0.66153997 -0.78213651 -0.9535202 "standing" "train" "1"
"17" -0.99733245 -0.9984604 -0.99826259 -0.99901295 -0.99408869 -0.99733245 -0.99999089 -0.99827323 -1 -0.9047619 0.56066755 -0.7788766 -0.94042078 "standing" "train" "1"
"18" -0.99759265 -0.99761851 -0.99762012 -0.99718849 -0.99656551 -0.99759265 -0.99999033 -0.99678462 -1 -0.80952381 0.42861421 -0.32889895 -0.5968605 "standing" "train" "1"
"19" -0.99850483 -0.99819704 -0.9980991 -0.99858638 -0.99858868 -0.99850483 -0.99999431 -0.99843259 -1 -1 0.34841264 -0.50130067 -0.83824289 "standing" "train" "1"
"20" -0.99957244 -0.99956029 -0.99951336 -0.99982476 -0.99811689 -0.99957244 -0.99999898 -0.99912662 -1 -0.80952381 0.66715565 -0.94167101 -0.96552162 "standing" "train" "1"
"21" -0.99904676 -0.99915254 -0.99888219 -0.99956023 -0.99568164 -0.99904676 -0.99999722 -0.99826866 -1 -0.80952381 0.60113375 -0.83388957 -0.96857963 "standing" "train" "1"
"22" -0.99842415 -0.99888625 -0.9985148 -0.99910175 -0.99473379 -0.99842415 -0.99999513 -0.99707442 -1 -0.93650794 0.57633902 -0.84819803 -0.95024737 "standing" "train" "1"
"23" -0.99896566 -0.9985402 -0.99809896 -0.99875276 -0.99739921 -0.99896566 -0.99999615 -0.99660003 -1 -0.93650794 0.48022509 -0.70196994 -0.89511812 "standing" "train" "1"
"24" -0.99872646 -0.9990231 -0.99866278 -0.99957027 -0.99711617 -0.99872646 -0.99999618 -0.9979691 -1 -0.93650794 0.46819093 -0.90978578 -0.98659509 "standing" "train" "1"
"25" -0.99873615 -0.99886745 -0.99864825 -0.99928083 -0.99540335 -0.99873615 -0.999996 -0.99812154 -1 -0.33333333 0.73008435 -0.74638206 -0.94166398 "standing" "train" "1"
"26" -0.99838463 -0.99900752 -0.99870539 -0.99921187 -0.99198837 -0.99838463 -0.99999517 -0.99784929 -1 0.23809524 0.67707316 -0.71546211 -0.93748334 "standing" "train" "1"
"27" -0.99796927 -0.99865929 -0.99818914 -0.99907643 -0.99450398 -0.99796927 -0.99999339 -0.997052 -1 -0.96825397 0.71828398 -0.82491892 -0.96440686 "standing" "train" "1"
"28" -0.98331724 -0.9772135 -0.97963441 -0.97699325 -0.99576448 -0.98331724 -0.99974274 -0.9837155 -0.79588617 -1 -0.25760727 0.1561853 -0.2417813 "sitting" "train" "1"
"29" -0.99858976 -0.99876688 -0.99855202 -0.99904944 -0.99924561 -0.99858976 -0.99999545 -0.99758285 -1 -0.96825397 0.5824263 -0.74339748 -0.8995231 "sitting" "train" "1"
"30" -0.99897315 -0.99932551 -0.99928125 -0.99951484 -0.99608874 -0.99897315 -0.99999723 -0.99937853 -1 -0.77777778 0.75559309 -0.76862336 -0.92854834 "sitting" "train" "1"
"31" -0.87086437 -0.80216905 -0.84246117 -0.76592092 -0.92556114 -0.87086437 -0.98545687 -0.85411352 -0.18183848 -1 -0.46353347 0.74309845 0.59673312 "sitting" "train" "1"
"32" -0.87238357 -0.83747045 -0.8537384 -0.81368275 -0.92417694 -0.87238357 -0.98858392 -0.86117139 -0.18772163 -1 -0.25455139 0.48248536 0.25609488 "sitting" "train" "1"
"33" -0.94761761 -0.94961434 -0.94871102 -0.94320198 -0.98226831 -0.94761761 -0.99844179 -0.94045971 -0.56114217 -1 0.18128656 0.14335808 -0.097418302 "sitting" "train" "1"
"34" -0.98956557 -0.98918242 -0.98871602 -0.98939003 -0.99013396 -0.98956557 -0.9999101 -0.98868956 -0.8713058 -1 0.12348951 -0.17681171 -0.54858082 "sitting" "train" "1"
"35" -0.9958058 -0.9954641 -0.99481997 -0.99689625 -0.99343692 -0.9958058 -0.99997786 -0.99574759 -1 -0.93650794 0.20092475 -0.50812728 -0.86266897 "sitting" "train" "1"
"36" -0.99608502 -0.99554573 -0.99518501 -0.99694116 -0.99019753 -0.99608502 -0.99997935 -0.99617987 -1 -0.93650794 0.054594781 -0.43074372 -0.82318141 "sitting" "train" "1"
"37" -0.99603174 -0.99580097 -0.99510776 -0.99696203 -0.99566137 -0.99603174 -0.99997984 -0.99572229 -1 -0.93650794 0.092354948 -0.53746994 -0.8619262 "sitting" "train" "1"
"38" -0.99596914 -0.99636766 -0.99571545 -0.99681543 -0.99155006 -0.99596914 -0.99998109 -0.99539158 -1 -0.93650794 0.45367772 -0.52753933 -0.83912516 "sitting" "train" "1"
"39" -0.9936382 -0.99346944 -0.99255873 -0.99515237 -0.99214964 -0.9936382 -0.99995978 -0.99168382 -0.95569589 -0.9047619 0.1908948 -0.44448238 -0.81650184 "sitting" "train" "1"
"40" -0.99561812 -0.9955675 -0.99500618 -0.99656611 -0.99622578 -0.99561812 -0.9999773 -0.99572975 -1 -0.65079365 0.20703659 -0.46732609 -0.82105451 "sitting" "train" "1"
"41" -0.99665915 -0.99642101 -0.99596175 -0.99763724 -0.99630116 -0.99665915 -0.99998414 -0.99558577 -1 -0.55555556 0.10694842 -0.48985103 -0.85323158 "sitting" "train" "1"
"42" -0.99589482 -0.99565892 -0.99494244 -0.99608872 -0.99288056 -0.99589482 -0.99997883 -0.99515938 -1 -0.9047619 0.21731284 -0.43108901 -0.77074801 "sitting" "train" "1"
"43" -0.99675725 -0.99725922 -0.99668753 -0.9976274 -0.99685033 -0.99675725 -0.99998649 -0.99602121 -1 -0.9047619 0.45860339 -0.69613874 -0.88056095 "sitting" "train" "1"
"44" -0.99840125 -0.99822553 -0.9983302 -0.99817288 -0.99785201 -0.99840125 -0.99999405 -0.99840421 -1 -0.80952381 0.35013096 -0.44780654 -0.75140574 "sitting" "train" "1"
