"mean" "std" "mad" "max" "min" "sma" "energy" "iqr" "entropy" "maxInds" "meanFreq" "skewness" "kurtosis" "label" "class" "subject"
"1" -0.98013485 -0.96130944 -0.97365344 -0.95226383 -0.98949813 -0.98013485 -0.99924035 -0.99265553 -0.70129141 -1 -0.1289889 0.58615643 0.37460462 "standing" "train" "1"
"2" -0.98829555 -0.98332192 -0.98265928 -0.98632076 -0.99182878 -0.98829555 -0.9998112 -0.99397851 -0.720683 -0.94871795 -0.27195846 -0.33631041 -0.72001508 "standing" "train" "1"
"3" -0.98925477 -0.98602772 -0.98427365 -0.99097943 -0.99570296 -0.98925477 -0.99985386 -0.99323834 -0.73652148 -0.79487179 -0.2127279 -0.53535208 -0.87191414 "standing" "train" "1"
"4" -0.9894128 -0.98783575 -0.98684991 -0.98674877 -0.99619936 -0.9894128 -0.99987564 -0.98913554 -0.72089079 -1 -0.035684195 -0.2300909 -0.51121695 "standing" "train" "1"
"5" -0.99143303 -0.98905935 -0.98774359 -0.99146166 -0.99835318 -0.99143303 -0.99990182 -0.98932105 -0.76337215 -0.8974359 -0.27358201 -0.51028185 -0.83070177 "standing" "train" "1"
"6" -0.99050002 -0.98586094 -0.98551203 -0.98820413 -0.99475781 -0.99050002 -0.99986056 -0.99196674 -0.76857669 -1 -0.29732906 -0.34604454 -0.72727049 "standing" "train" "1"
"7" -0.9882692 -0.98456854 -0.98360123 -0.98532835 -0.99452072 -0.9882692 -0.999828 -0.98904016 -0.73563944 -1 -0.25703213 -0.32159084 -0.65843521 "standing" "train" "1"
"8" -0.98943061 -0.98706484 -0.98597788 -0.98819296 -0.99823989 -0.98943061 -0.99986727 -0.99003503 -0.73563944 -1 -0.19727152 -0.4072843 -0.73331337 "standing" "train" "1"
"9" -0.99162928 -0.99175866 -0.99118172 -0.99152182 -0.99519651 -0.99162928 -0.99992683 -0.99142841 -0.85031043 -1 0.073417207 -0.3713888 -0.67476974 "standing" "train" "1"
"10" -0.98478793 -0.98038779 -0.98185032 -0.97677071 -0.99319682 -0.98478793 -0.99973633 -0.98196894 -0.67136577 -1 -0.13996636 0.10678504 -0.13136029 "standing" "train" "1"
"11" -0.98345836 -0.98117839 -0.98170707 -0.97856013 -0.98683589 -0.98345836 -0.99973591 -0.98071144 -0.6406333 -1 -0.047159012 0.0078721706 -0.28355995 "standing" "train" "1"
"12" -0.99650333 -0.99552256 -0.99586763 -0.99504547 -0.99871793 -0.99650333 -0.99997507 -0.99722779 -0.89669536 -0.94871795 0.098996469 -0.28407681 -0.62466389 "standing" "train" "1"
"13" -0.99790693 -0.99725026 -0.99734709 -0.99671097 -0.99860315 -0.99790693 -0.99998738 -0.99681867 -0.95605675 -1 0.15665584 -0.39115511 -0.67400369 "standing" "train" "1"
"14" -0.99856385 -0.99842929 -0.99793995 -0.99878034 -0.99789981 -0.99856385 -0.99999315 -0.99645709 -1 -0.94871795 0.32533905 -0.75932989 -0.9424762 "standing" "train" "1"
"15" -0.91104074 -0.88447314 -0.89821508 -0.87978404 -0.84680263 -0.91104074 -0.99271123 -0.9561298 -0.38735863 -1 -0.17333539 0.076217194 -0.30377822 "standing" "train" "1"
"16" -0.95640227 -0.91767988 -0.94237059 -0.90073151 -0.95235144 -0.95640227 -0.99678165 -0.9827764 -0.50587034 -1 -0.36092671 0.55776674 0.33541404 "standing" "train" "1"
"17" -0.98656987 -0.9816707 -0.98340872 -0.982811 -0.99098474 -0.98656987 -0.99977275 -0.99116472 -0.72940807 -0.94871795 -0.098182183 -0.14541051 -0.56077286 "standing" "train" "1"
"18" -0.99244181 -0.98791994 -0.98932372 -0.98526539 -0.99755007 -0.99244181 -0.99989619 -0.9931732 -0.82896585 -1 -0.17698001 0.16206613 -0.095406438 "standing" "train" "1"
"19" -0.9956098 -0.99348569 -0.99346737 -0.99448022 -0.99825183 -0.9956098 -0.99995978 -0.9954067 -0.87235403 -0.69230769 -0.10858525 -0.41071194 -0.76276488 "standing" "train" "1"
"20" -0.99720378 -0.99453695 -0.99566363 -0.99249089 -0.99918437 -0.99720378 -0.99997229 -0.99726368 -0.95605675 -1 -0.056741167 0.20701351 -0.023061747 "standing" "train" "1"
"21" -0.9988685 -0.99922087 -0.99940774 -0.998899 -0.99918205 -0.9988685 -0.99999598 -0.99929796 -1 -0.8974359 0.48005633 -0.62840566 -0.8533989 "standing" "train" "1"
"22" -0.99852538 -0.99850046 -0.99825912 -0.99866098 -0.99742586 -0.99852538 -0.99999325 -0.99830347 -1 -0.94871795 0.34517548 -0.70617528 -0.91782747 "standing" "train" "1"
"23" -0.99824461 -0.99793024 -0.99744997 -0.99784536 -0.99675606 -0.99824461 -0.99999074 -0.9950493 -1 -1 0.25122244 -0.68113841 -0.87557321 "standing" "train" "1"
