"mean" "std" "mad" "max" "min" "sma" "energy" "iqr" "entropy" "arCoeff1" "arCoeff2" "arCoeff3" "arCoeff4" "label" "class" "subject"
"1" -0.99330586 -0.99433641 -0.99450037 -0.99278399 -0.99120847 -0.99330586 -0.99989188 -0.9929337 -0.86341476 0.28308522 -0.23730869 -0.10543219 -0.038212313 "standing" "train" "1"
"2" -0.99125349 -0.99169441 -0.99271603 -0.98866062 -0.99120847 -0.99125349 -0.9998454 -0.99348508 -0.8199283 0.45881205 -0.24494134 0.056139272 -0.45834568 "standing" "train" "1"
"3" -0.98853127 -0.9903969 -0.99065049 -0.98866062 -0.99301198 -0.98853127 -0.99978994 -0.98998375 -0.79488418 0.6497038 -0.260088 -0.12841598 -0.52054112 "standing" "train" "1"
"4" -0.99307804 -0.9933808 -0.99319452 -0.99340172 -0.99301198 -0.99307804 -0.99988361 -0.99173608 -0.79232145 0.6616034 -0.24745115 -0.23031491 -0.4364594 "standing" "train" "1"
"5" -0.99348 -0.99585371 -0.99610746 -0.9932829 -0.98132454 -0.99348 -0.9999016 -0.99684631 -0.85002565 0.3116039 -0.17012088 0.13437035 -0.45829909 "standing" "train" "1"
"6" -0.9930177 -0.99542431 -0.9955274 -0.9932829 -0.99317504 -0.9930177 -0.99989265 -0.99502233 -0.87130303 0.072707273 0.01781662 -0.068588167 -0.16618196 "standing" "train" "1"
"7" -0.9913143 -0.98944783 -0.99109073 -0.9856775 -0.99317504 -0.9913143 -0.99983299 -0.99334625 -0.79510756 0.17811599 0.061553228 -0.18707734 -0.20728576 "standing" "train" "1"
"8" -0.99085085 -0.99038832 -0.99200395 -0.9856775 -0.97601033 -0.99085085 -0.99983103 -0.99246264 -0.83086271 0.26135793 0.035128668 -0.16992857 -0.34337938 "standing" "train" "1"
"9" -0.99332542 -0.99288747 -0.9940632 -0.98965923 -0.98468412 -0.99332542 -0.99988478 -0.99653685 -0.8505403 0.16069705 -0.31461131 0.035479208 0.161041 "standing" "train" "1"
"10" -0.98538815 -0.98364308 -0.98462764 -0.97867202 -0.98468412 -0.98538815 -0.99968081 -0.98881652 -0.70457476 0.2321323 -0.25761217 -0.16203218 0.17737548 "standing" "train" "1"
"11" -0.98441139 -0.98602515 -0.98735277 -0.97867202 -0.98081241 -0.98441139 -0.99967823 -0.99103548 -0.72053655 0.49639445 -0.38769225 -0.11010211 -0.11649176 "standing" "train" "1"
"12" -0.99279492 -0.99527144 -0.99490834 -0.99578821 -0.98789428 -0.99279492 -0.99988851 -0.99360861 -0.87366019 0.71292661 -0.50283433 -0.060399654 -0.33458802 "standing" "train" "1"
"13" -0.99486033 -0.9971272 -0.99674549 -0.99675634 -0.98789428 -0.99486033 -0.99992705 -0.99639639 -0.91003285 0.43286812 -0.3056199 -0.1186193 -0.14399923 "standing" "train" "1"
"14" -0.99536254 -0.99600058 -0.99630816 -0.99418254 -0.98705928 -0.99536254 -0.99992919 -0.99803912 -0.85091994 0.3598566 -0.47563592 0.11111859 -0.007568246 "standing" "train" "1"
"15" -0.99047837 -0.98912684 -0.98970399 -0.98849177 -0.98398162 -0.99047837 -0.99981686 -0.99154879 -0.79068728 0.18203178 0.030589991 -0.21886473 -0.1469895 "standing" "train" "1"
"16" -0.99628275 -0.99754046 -0.99857497 -0.99480759 -0.98398162 -0.99628275 -0.99994789 -0.99968354 -0.91222498 0.34824128 -0.28472408 -0.075778465 -0.075822572 "standing" "train" "1"
"17" -0.99552049 -0.99892631 -0.9990321 -0.99723994 -0.97920399 -0.99552049 -0.99994304 -0.99858467 -0.98949309 0.41188038 -0.19630742 -0.073830876 -0.34345769 "standing" "train" "1"
"18" -0.99564686 -0.9967385 -0.99695705 -0.99455144 -0.99717176 -0.99564686 -0.99993622 -0.99675477 -0.94296457 0.42610024 -0.34174493 -0.023363254 -0.18168566 "standing" "train" "1"
"19" -0.99585704 -0.99731242 -0.99740183 -0.99455144 -0.99717176 -0.99585704 -0.99994139 -0.99747695 -0.95929863 0.41934266 -0.24647603 -0.1099074 -0.22444974 "standing" "train" "1"
"20" -0.99645316 -0.99991721 -0.99934208 -0.99971152 -0.9911395 -0.99645316 -0.99995875 -0.99851709 -0.9962925 0.30777429 -0.084096426 -0.21805441 -0.20008876 "standing" "train" "1"
"21" -0.99547632 -0.99763356 -0.99754483 -0.99674768 -0.9911395 -0.99547632 -0.99993757 -0.9985771 -0.92646561 0.27954626 -0.34552382 0.20285606 -0.23402119 "standing" "train" "1"
"22" -0.99306888 -0.99440487 -0.99406708 -0.99559974 -0.97680023 -0.99306888 -0.99988861 -0.99321594 -0.87490707 0.22396781 -0.46423473 0.16937211 0.097892807 "standing" "train" "1"
"23" -0.99222923 -0.99284139 -0.99210919 -0.99457242 -0.98298521 -0.99222923 -0.99986754 -0.9915511 -0.83438212 0.31944621 -0.17869837 -0.17672379 -0.088033918 "standing" "train" "1"
"24" -0.99337454 -0.99435793 -0.9939855 -0.99457242 -0.98298521 -0.99337454 -0.99989302 -0.99302343 -0.84549161 0.35113687 -0.10831927 -0.093577895 -0.35323534 "standing" "train" "1"
"25" -0.99333286 -0.9952337 -0.99527421 -0.99506619 -0.98364338 -0.99333286 -0.99989656 -0.99393548 -0.8832464 0.29639599 -0.33779666 -0.0064306353 -0.014521245 "standing" "train" "1"
"26" -0.99251624 -0.99485866 -0.99456522 -0.99506619 -0.98364338 -0.99251624 -0.99988223 -0.99315864 -0.87366019 0.25955333 -0.3254526 -0.068166212 0.10372091 "standing" "train" "1"
"27" -0.99338553 -0.99456104 -0.99418538 -0.99435046 -0.99266886 -0.99338553 -0.99989417 -0.99368545 -0.83461996 0.36734612 -0.40660636 -0.077476772 0.096137078 "standing" "train" "1"
"28" -0.97526798 -0.97133698 -0.97421791 -0.97312196 -0.96536371 -0.97526798 -0.99931329 -0.9791272 -0.57560394 -0.16543358 -0.30560045 0.59776309 -0.079118206 "sitting" "train" "1"
"29" -0.99288968 -0.99458511 -0.99457507 -0.99273459 -0.97810861 -0.99288968 -0.99988673 -0.99360875 -0.87062782 0.22321143 -0.2856379 -0.13636005 0.17465196 "sitting" "train" "1"
"30" -0.99423479 -0.99452938 -0.99485832 -0.99273459 -0.99021516 -0.99423479 -0.99990655 -0.99486713 -0.85780706 0.12264134 -0.097917455 -0.0099195714 -0.067596952 "sitting" "train" "1"
"31" -0.91387886 -0.81597791 -0.81182184 -0.85778903 -0.99021516 -0.91387886 -0.99099279 -0.84041528 -0.14704815 0.2879706 0.012622868 -0.037943686 -0.52665713 "sitting" "train" "1"
"32" -0.86678801 -0.83897844 -0.83976434 -0.85778903 -0.97528446 -0.86678801 -0.98797849 -0.85632515 0.13508202 0.25162296 -0.014673302 -0.03175182 -0.4278029 "sitting" "train" "1"
"33" -0.94302661 -0.91068062 -0.91274054 -0.90968797 -0.96674921 -0.94302661 -0.99680801 -0.92882864 -0.23865941 0.33080341 -0.27092675 0.11343748 -0.28245389 "sitting" "train" "1"
"34" -0.99107291 -0.98994373 -0.98918129 -0.99185081 -0.99236916 -0.99107291 -0.99983206 -0.98867836 -0.77251065 0.37796203 -0.21288915 -0.15128993 -0.16638723 "sitting" "train" "1"
"35" -0.99684513 -0.99590981 -0.99551299 -0.99586013 -0.9932535 -0.99684513 -0.9999482 -0.99470799 -0.86572364 0.17362275 -0.2833072 0.14905551 -0.035204784 "sitting" "train" "1"
