"mean" "std" "mad" "max" "min" "sma" "energy" "iqr" "entropy" "arCoeff1" "arCoeff2" "arCoeff3" "arCoeff4" "label" "class" "subject"
"1" -0.99424782 -0.99136761 -0.99314298 -0.98893563 -0.99348603 -0.99424782 -0.99994898 -0.99454718 -0.61976763 0.29284049 -0.1768892 -0.14577921 -0.12407233 "standing" "train" "1"
"2" -0.9951232 -0.99610164 -0.99583855 -0.99654485 -0.99200604 -0.9951232 -0.99996983 -0.99481921 -0.7307216 0.20933413 -0.17811256 -0.10308433 -0.043823965 "standing" "train" "1"
"3" -0.99340322 -0.99509104 -0.99485947 -0.99535951 -0.99765184 -0.99340322 -0.99995494 -0.99398834 -0.66291363 0.32803146 -0.15456001 -0.22058712 -0.10751416 "standing" "train" "1"
"4" -0.99550216 -0.9952666 -0.99530481 -0.99535951 -0.99765184 -0.99550216 -0.99997021 -0.99500114 -0.68301625 0.59537127 -0.26456877 -0.315723 -0.16382553 "standing" "train" "1"
"5" -0.99580756 -0.99525804 -0.99630727 -0.99238935 -0.99219267 -0.99580756 -0.99997208 -0.99648366 -0.72017068 0.33185844 -0.26056203 -0.14566464 -0.0073679914 "standing" "train" "1"
"6" -0.99527476 -0.99520498 -0.99606962 -0.99238935 -0.9927537 -0.99527476 -0.99996859 -0.99610679 -0.75109221 0.17875993 -0.18144489 0.049574642 -0.16885276 "standing" "train" "1"
"7" -0.99371877 -0.9952695 -0.99493528 -0.99628668 -0.9927537 -0.99371877 -0.99995783 -0.99362283 -0.68125693 0.264598 -0.2548618 0.20274247 -0.36516042 "standing" "train" "1"
"8" -0.99429068 -0.9952107 -0.9950755 -0.99628668 -0.99232373 -0.99429068 -0.99996189 -0.99420438 -0.64591615 0.32671691 -0.32938264 0.23369434 -0.35191026 "standing" "train" "1"
"9" -0.99584954 -0.9955883 -0.99587893 -0.99556992 -0.99232373 -0.99584954 -0.99997318 -0.99632287 -0.68701641 0.48020958 -0.25851769 -0.0074530485 -0.36706225 "standing" "train" "1"
"10" -0.98979927 -0.9907352 -0.99071032 -0.9926644 -0.98974543 -0.98979927 -0.99990752 -0.9896253 -0.46620434 0.54809842 -0.32912897 -0.24958036 -0.081848717 "standing" "train" "1"
"11" -0.99126117 -0.99034063 -0.99046206 -0.9926644 -0.9934785 -0.99126117 -0.99992017 -0.98921532 -0.47100223 0.57177035 -0.34927042 -0.17144294 -0.17345868 "standing" "train" "1"
"12" -0.99776102 -0.99781536 -0.99762665 -0.99857086 -0.9934785 -0.99776102 -0.99998827 -0.9970826 -0.81085833 0.48994725 -0.45780704 0.23666013 -0.32585054 "standing" "train" "1"
"13" -0.99860153 -0.99915139 -0.99895227 -0.99935148 -0.99094803 -0.99860153 -0.99999406 -0.99850164 -0.90271132 0.7626381 -0.53780843 -0.087643077 -0.19084862 "standing" "train" "1"
"14" -0.99833451 -0.99915859 -0.99920386 -0.99854535 -0.99835678 -0.99833451 -0.99999293 -0.99912782 -0.8947102 0.82974289 -0.35824605 -0.22342985 -0.44278857 "standing" "train" "1"
"15" -0.99144905 -0.98971134 -0.99012798 -0.99087741 -0.98947032 -0.99144905 -0.99991915 -0.99148791 -0.46685721 0.59340383 -0.27956091 -0.24447796 -0.2215185 "standing" "train" "1"
"16" -0.99680193 -0.99809793 -0.99818395 -0.99794359 -0.98947032 -0.99680193 -0.99998388 -0.99829584 -0.80907846 0.68004903 -0.43240717 -0.062888979 -0.28738764 "standing" "train" "1"
"17" -0.99690565 -0.99779235 -0.99798318 -0.99733932 -0.98870879 -0.99690565 -0.99998392 -0.99802166 -0.83107741 0.52512907 -0.35604181 0.22776071 -0.54017806 "standing" "train" "1"
"18" -0.99700147 -0.99768614 -0.99777193 -0.99733932 -0.99619464 -0.99700147 -0.99998424 -0.99782902 -0.79485167 0.41637188 -0.41336824 0.25079686 -0.3258714 "standing" "train" "1"
"19" -0.99808075 -0.99848741 -0.99849586 -0.99826853 -0.99619464 -0.99808075 -0.99999086 -0.99895924 -0.84878249 0.59280943 -0.63001181 -0.059032547 0.15114585 "standing" "train" "1"
"20" -0.99869585 -0.99967043 -0.99955128 -0.99937305 -0.99508798 -0.99869585 -0.99999508 -0.99940951 -0.97273065 0.67547502 -0.42008034 -0.084506646 -0.29211891 "standing" "train" "1"
"21" -0.99843291 -0.9991886 -0.9991135 -0.99905473 -0.99366851 -0.99843291 -0.99999339 -0.9986976 -0.92316873 0.69450887 -0.34331613 -0.088755549 -0.43894829 "standing" "train" "1"
"22" -0.99818838 -0.99867706 -0.99853387 -0.99905473 -0.99366851 -0.99818838 -0.99999162 -0.99825246 -0.88244203 0.64897282 -0.35010489 0.015119297 -0.47275604 "standing" "train" "1"
"23" -0.99852925 -0.99891331 -0.99881922 -0.99913146 -0.99191487 -0.99852925 -0.99999343 -0.99892295 -0.87808696 0.61077497 -0.37354692 0.013210478 -0.38065334 "standing" "train" "1"
"24" -0.99832144 -0.99893826 -0.99903399 -0.99863704 -0.99191487 -0.99832144 -0.99999258 -0.99898299 -0.89522431 0.57215183 -0.33550286 -0.027097284 -0.35762805 "standing" "train" "1"
"25" -0.99740976 -0.99890363 -0.99890629 -0.99863704 -0.9885094 -0.99740976 -0.99998827 -0.99888312 -0.92143519 0.64025603 -0.33188043 0.011379664 -0.50424874 "standing" "train" "1"
"26" -0.99717187 -0.99868261 -0.99850117 -0.99857415 -0.9881282 -0.99717187 -0.99998675 -0.99776928 -0.85931236 0.62597361 -0.26382896 0.010080229 -0.60036722 "standing" "train" "1"
"27" -0.99717422 -0.9982994 -0.99819748 -0.99794746 -0.99544543 -0.99717422 -0.99998618 -0.99769205 -0.80252264 0.7112882 -0.3925817 0.04040602 -0.5161193 "standing" "train" "1"
"28" -0.99023484 -0.9801139 -0.98343932 -0.98229709 -0.99107502 -0.99023484 -0.99984901 -0.99480759 -0.53051367 0.49839782 -0.26159451 -0.4976982 0.15542956 "sitting" "train" "1"
"29" -0.99808771 -0.99875192 -0.99875556 -0.99826521 -0.99474147 -0.99808771 -0.99999128 -0.99834688 -0.88976345 0.57581095 -0.25879002 -0.095356884 -0.41452062 "sitting" "train" "1"
