"mean" "std" "mad" "max" "min" "sma" "energy" "iqr" "entropy" "arCoeff1" "arCoeff2" "arCoeff3" "arCoeff4" "label" "class" "subject"
"1" -0.96895908 -0.96433518 -0.95724477 -0.97505986 -0.99155366 -0.96895908 -0.99928646 -0.94976582 0.072579035 0.57251142 -0.73860219 0.21257776 0.43340495 "standing" "train" "1"
"2" -0.98068314 -0.98375419 -0.9820027 -0.9847146 -0.99155366 -0.98068314 -0.99972466 -0.98285681 -0.19289906 -0.22531738 -0.017059623 0.15577724 0.082575208 "standing" "train" "1"
"3" -0.97631707 -0.98605146 -0.98445778 -0.9847146 -0.96619294 -0.97631707 -0.99964058 -0.98345446 -0.22282926 -0.22683093 0.059680819 0.061476177 0.041702126 "standing" "train" "1"
"4" -0.98205988 -0.98735112 -0.98563162 -0.99002906 -0.98168559 -0.98205988 -0.99976785 -0.98396601 -0.24071922 -0.20198501 0.054711916 0.11007156 -0.079422593 "standing" "train" "1"
"5" -0.98520373 -0.98906257 -0.98961337 -0.98702854 -0.98168559 -0.98520373 -0.99982937 -0.99233802 -0.33869914 -0.23699257 0.093820007 0.02333272 0.039038976 "standing" "train" "1"
"6" -0.9858944 -0.98644027 -0.98630456 -0.98702854 -0.9903605 -0.9858944 -0.99982969 -0.98927834 -0.24494596 -0.17266253 -0.0078011592 0.095891245 0.069755956 "standing" "train" "1"
"7" -0.98550069 -0.98462525 -0.98249401 -0.9879964 -0.99317783 -0.98550069 -0.99981515 -0.97961513 -0.21884078 -0.099259122 -0.091254239 0.19634064 -0.011317902 "standing" "train" "1"
"8" -0.98450563 -0.98683834 -0.98574923 -0.9879964 -0.99317783 -0.98450563 -0.99980905 -0.98739555 -0.25658006 -0.053555639 -0.12658996 0.2270784 -0.064388345 "standing" "train" "1"
"9" -0.98936978 -0.99091446 -0.98990202 -0.99070265 -0.99193469 -0.98936978 -0.99989556 -0.98973754 -0.37714872 -0.093697388 0.062756526 -0.11098953 0.11578179 "standing" "train" "1"
"10" -0.98452436 -0.98026379 -0.97715213 -0.98571654 -0.99193469 -0.98452436 -0.99977573 -0.97717243 -0.14940783 -0.1562922 0.11716624 -0.0995254 0.070965089 "standing" "train" "1"
"11" -0.9852507 -0.98024776 -0.97718807 -0.98571654 -0.99001058 -0.9852507 -0.99978752 -0.97894667 -0.1842877 -0.068881574 -0.026641108 0.13831454 -0.14299141 "standing" "train" "1"
"12" -0.99428671 -0.99563374 -0.9956132 -0.99574306 -0.99348434 -0.99428671 -0.99995964 -0.9970525 -0.61136791 0.35090232 -0.47202422 0.51662387 -0.41546334 "standing" "train" "1"
"13" -0.99630809 -0.99738797 -0.99704814 -0.99776181 -0.99695083 -0.99630809 -0.99997812 -0.99678567 -0.68168878 0.26281398 -0.33294878 0.3951775 -0.39848737 "standing" "train" "1"
"14" -0.99767246 -0.99841465 -0.99818368 -0.99853329 -0.99737277 -0.99767246 -0.99998799 -0.99840547 -0.7751831 0.29213542 -0.27535505 0.18487753 -0.20972837 "standing" "train" "1"
"15" -0.84050608 -0.882544 -0.8714345 -0.89525167 -0.7456001 -0.84050608 -0.98681145 -0.87872963 0.5130963 -0.13922444 -0.048703944 -0.043866658 0.34114403 "standing" "train" "1"
"16" -0.93127833 -0.92308961 -0.90597598 -0.95385803 -0.94896306 -0.93127833 -0.99693164 -0.89493338 0.28546322 -0.25814959 0.18730101 -0.25342263 0.29899761 "standing" "train" "1"
"17" -0.97236443 -0.98189323 -0.98234757 -0.98187601 -0.94896306 -0.97236443 -0.99951984 -0.98809132 -0.23669484 -0.1759099 0.097815091 -0.1262624 0.16273053 "standing" "train" "1"
"18" -0.9804895 -0.98867771 -0.9865715 -0.99031305 -0.97867569 -0.9804895 -0.99974262 -0.98475586 -0.28180751 -0.048030566 -0.089795689 0.08703526 0.05409227 "standing" "train" "1"
"19" -0.98856897 -0.99388286 -0.99331264 -0.99371588 -0.98836141 -0.98856897 -0.99989367 -0.99446184 -0.47732242 -0.063573913 -0.11903891 0.20881196 -0.04530457 "standing" "train" "1"
"20" -0.993472 -0.99528437 -0.99457709 -0.99595335 -0.99299314 -0.993472 -0.99995176 -0.99421605 -0.55496434 0.0927706 -0.18752843 0.037083444 0.16449973 "standing" "train" "1"
"21" -0.99698274 -0.99900144 -0.99884429 -0.99894971 -0.99299314 -0.99698274 -0.99998467 -0.99866475 -0.83714575 0.44291208 -0.42757805 0.25702265 -0.22499113 "standing" "train" "1"
"22" -0.99707363 -0.99843242 -0.99831635 -0.99803535 -0.99230278 -0.99707363 -0.99998452 -0.99838607 -0.7984758 0.4057724 -0.39795397 0.37194791 -0.44475851 "standing" "train" "1"
"23" -0.99762227 -0.99796907 -0.99767878 -0.99803535 -0.99613799 -0.99762227 -0.9999871 -0.99760164 -0.77257678 0.30755298 -0.36203587 0.36837051 -0.33342975 "standing" "train" "1"
"24" -0.99736198 -0.9977236 -0.99719234 -0.99841441 -0.99613799 -0.99736198 -0.99998525 -0.99688808 -0.73606665 0.44132301 -0.45499314 0.28686158 -0.17883726 "standing" "train" "1"
"25" -0.99569879 -0.99735309 -0.99656599 -0.99841441 -0.9953397 -0.99569879 -0.99997381 -0.99599592 -0.69185822 0.36636558 -0.41827436 0.30118988 -0.17176163 "standing" "train" "1"
"26" -0.99526631 -0.99616702 -0.9959377 -0.99668897 -0.99690271 -0.99526631 -0.99996854 -0.99687599 -0.64699031 0.20837555 -0.36859969 0.4212784 -0.22237036 "standing" "train" "1"
"27" -0.99582615 -0.99579462 -0.99560303 -0.99668897 -0.99690271 -0.99582615 -0.99997194 -0.99607485 -0.63069502 0.23366137 -0.29187398 0.24645642 -0.16452714 "standing" "train" "1"
"28" -0.8738801 -0.96976795 -0.97075571 -0.93837213 -0.81114604 -0.8738801 -0.99268425 -0.97584405 -0.017026165 -0.64471004 0.68479915 -0.52570146 0.16056853 "sitting" "train" "1"
"29" -0.89520271 -0.95274453 -0.9422317 -0.95495767 -0.82256369 -0.89520271 -0.99465614 -0.93126825 0.1977323 -0.11132544 -0.013050729 0.035322091 0.04375089 "sitting" "train" "1"
"30" -0.94096567 -0.95416523 -0.94593519 -0.96533655 -0.90926131 -0.94096567 -0.99800541 -0.9453008 0.17354663 -0.17338133 0.040671218 0.020874798 0.040554106 "sitting" "train" "1"
"31" -0.68190845 -0.27136454 -0.10694925 -0.62321973 -0.9936545 -0.68190845 -0.88753639 -0.035099133 0.33092456 -0.78686378 0.67775937 -0.36335762 0.16599565 "sitting" "train" "1"
"32" -0.59287987 -0.35701417 -0.26344002 -0.62321973 -0.9936545 -0.59287987 -0.87506082 -0.17587565 0.76266503 -0.70908999 0.59079126 -0.32547764 0.18983697 "sitting" "train" "1"
"33" -0.85361742 -0.81063604 -0.79476408 -0.85609561 -0.87650551 -0.85361742 -0.98566415 -0.86406935 0.5027744 -0.21745395 0.096247375 -0.030694438 0.075329615 "sitting" "train" "1"
