"mean" "std" "mad" "max" "min" "sma" "energy" "iqr" "entropy" "arCoeff1" "arCoeff2" "arCoeff3" "arCoeff4" "label" "class" "subject"
"1" -0.95943388 -0.9505515 -0.95799295 -0.94630524 -0.99255572 -0.95943388 -0.99849285 -0.9576374 -0.23258164 -0.17317874 -0.02289666 0.094831568 0.19181715 "standing" "train" "1"
"2" -0.97928915 -0.97605707 -0.97824725 -0.97871147 -0.99533294 -0.97928915 -0.99948803 -0.98124826 -0.44187611 0.081568632 -0.10936606 0.31175771 -0.4116748 "standing" "train" "1"
"3" -0.98370313 -0.98801962 -0.98832678 -0.98649613 -0.99533294 -0.98370313 -0.9996821 -0.9857669 -0.59993932 0.038049101 -0.074212271 0.25407599 -0.29612966 "standing" "train" "1"
"4" -0.98654176 -0.98642135 -0.98643053 -0.98649613 -0.99704479 -0.98654176 -0.99973743 -0.9835088 -0.58900633 -0.092855878 0.046396167 -0.00046644726 0.037142509 "standing" "train" "1"
"5" -0.99282715 -0.99127536 -0.9911703 -0.99096187 -0.99704479 -0.99282715 -0.99988074 -0.98960814 -0.7045988 0.18044105 -0.27765672 0.51556243 -0.35585076 "standing" "train" "1"
"6" -0.99429499 -0.99524897 -0.99500944 -0.99574572 -0.9941746 -0.99429499 -0.9999199 -0.99346324 -0.78527148 0.37033862 -0.3934519 0.56348302 -0.48154569 "standing" "train" "1"
"7" -0.9874657 -0.98274603 -0.98675558 -0.97819083 -0.99314603 -0.9874657 -0.99973422 -0.99123713 -0.58617597 0.15592 -0.23994216 0.29302646 -0.062701218 "standing" "train" "1"
"8" -0.97745766 -0.97599674 -0.97650361 -0.97819083 -0.98759749 -0.97745766 -0.9994359 -0.97476126 -0.4477748 0.049663704 -0.14008168 0.15035843 0.035137205 "standing" "train" "1"
"9" -0.98363087 -0.97751373 -0.97897119 -0.97844904 -0.99415011 -0.98363087 -0.99961104 -0.98001684 -0.49538336 0.38267396 -0.33707364 0.21921513 -0.16176693 "standing" "train" "1"
"10" -0.98677197 -0.98670243 -0.98837827 -0.98774589 -0.99415011 -0.98677197 -0.99974394 -0.99133543 -0.61329295 0.43069465 -0.39734143 0.26678535 -0.090331096 "standing" "train" "1"
"11" -0.98804033 -0.98590171 -0.98753995 -0.98774589 -0.99250912 -0.98804033 -0.99976561 -0.98958642 -0.61463968 0.3731128 -0.34303321 0.34490713 -0.27674953 "standing" "train" "1"
"12" -0.99477563 -0.99611776 -0.99579871 -0.99541508 -0.99250912 -0.99477563 -0.99993006 -0.99407242 -0.84520103 0.41585726 -0.27626355 0.34963419 -0.59992914 "standing" "train" "1"
"13" -0.99532501 -0.99656707 -0.99609128 -0.99541508 -0.99151735 -0.99532501 -0.99993947 -0.99413589 -0.86991263 0.47983276 -0.373967 0.41521302 -0.53430582 "standing" "train" "1"
"14" -0.99670013 -0.9983924 -0.99807005 -0.99736644 -0.9994408 -0.99670013 -0.99996377 -0.99629721 -0.92744189 0.47104019 -0.36237906 0.40757264 -0.52673606 "standing" "train" "1"
"15" -0.90458778 -0.83989567 -0.83587056 -0.90351446 -0.97560046 -0.90458778 -0.99178992 -0.79512503 0.023515765 -0.52053044 0.4330236 -0.45269697 0.38134805 "standing" "train" "1"
"16" -0.98446381 -0.98754846 -0.98798809 -0.98472462 -0.99001879 -0.98446381 -0.99969741 -0.98792482 -0.61242297 0.028785268 -0.13424218 0.24645295 -0.10587809 "standing" "train" "1"
"17" -0.98904307 -0.99093187 -0.99117062 -0.99169252 -0.99049292 -0.98904307 -0.99981182 -0.99046331 -0.70013106 0.071744981 -0.18965963 0.34012557 -0.16010398 "standing" "train" "1"
"18" -0.99507155 -0.99268417 -0.99358148 -0.99093326 -0.99504407 -0.99507155 -0.99992126 -0.99364019 -0.76520087 0.088873196 -0.087574755 0.23079623 -0.29977833 "standing" "train" "1"
"19" -0.99872681 -0.99741361 -0.99816625 -0.99093326 -0.99504407 -0.99872681 -0.99998555 -0.99782077 -0.91164086 0.23503767 -0.15939942 0.30724722 -0.46111556 "standing" "train" "1"
"20" -0.99797237 -0.99879494 -0.99841011 -0.99704606 -0.99604687 -0.99797237 -0.9999808 -0.99724024 -0.90050551 0.2588646 -0.24329178 0.50546277 -0.60775124 "standing" "train" "1"
"21" -0.99844133 -0.99798984 -0.99759806 -0.99542945 -0.99604687 -0.99844133 -0.99998402 -0.99554592 -0.89308352 0.37918152 -0.41142137 0.84166378 -0.88102867 "standing" "train" "1"
"22" -0.997891 -0.99752775 -0.99753235 -0.99406371 -0.99500339 -0.997891 -0.99997613 -0.99507095 -0.92305351 0.49183407 -0.47337261 0.69487492 -0.66937077 "standing" "train" "1"
"23" -0.99589346 -0.99728461 -0.99694728 -0.99406371 -0.99557597 -0.99589346 -0.99994969 -0.99404911 -0.90350711 0.56248951 -0.38076865 0.11200854 -0.16045928 "standing" "train" "1"
"24" -0.99521534 -0.99651065 -0.99592005 -0.99414104 -0.99557597 -0.99521534 -0.99993773 -0.99324706 -0.84348671 0.51452452 -0.35430139 0.15506301 -0.22120847 "standing" "train" "1"
"25" -0.99419344 -0.99494985 -0.99542435 -0.99299264 -0.99520739 -0.99419344 -0.99991728 -0.99462698 -0.7961707 0.3684556 -0.32474926 0.39508311 -0.40743928 "standing" "train" "1"
"26" -0.9957494 -0.99441625 -0.99487387 -0.99299264 -0.99385452 -0.9957494 -0.99993777 -0.99489936 -0.80723755 0.37553287 -0.32034053 0.43658745 -0.48659886 "standing" "train" "1"
"27" -0.9985525 -0.99776154 -0.9977141 -0.99436847 -0.99417248 -0.9985525 -0.99998462 -0.99597318 -0.91034855 0.56692166 -0.48273413 0.53966083 -0.50792065 "standing" "train" "1"
"28" -0.5543692 -0.18717165 -0.20730115 -0.46830669 -0.87413908 -0.5543692 -0.83205491 -0.26658477 0.50515047 -0.68011299 0.31516201 0.085490148 0.17644387 "sitting" "train" "1"
"29" -0.93459377 -0.93195422 -0.93254518 -0.94554244 -0.9833129 -0.93459377 -0.99683999 -0.91046872 -0.14265732 -0.20433788 0.065763545 -0.08238027 0.2613751 "sitting" "train" "1"
"30" -0.97699498 -0.97105963 -0.97628471 -0.9703291 -0.9833129 -0.97699498 -0.9993789 -0.98868228 -0.5409557 0.05450173 -0.09262885 0.17041821 -0.18272828 "sitting" "train" "1"
"31" -0.81575864 -0.50812531 -0.54741684 -0.64463597 -0.99198739 -0.81575864 -0.953856 -0.70688322 0.059765415 -0.50447927 0.42427332 -0.55289665 0.56646567 "sitting" "train" "1"
"32" -0.50739668 -0.49055481 -0.5229184 -0.62415949 -0.99198739 -0.50739668 -0.86214893 -0.54944598 0.66630239 -0.59658465 0.51487155 -0.56020652 0.46931087 "sitting" "train" "1"
"33" -0.62102725 -0.48451097 -0.47032362 -0.62415949 -0.85000619 -0.62102725 -0.90355084 -0.45441637 0.4970354 -0.81543473 0.79418464 -0.82827806 0.48823811 "sitting" "train" "1"
"34" -0.91595384 -0.89361999 -0.9143545 -0.89982042 -0.99105658 -0.91595384 -0.99459929 -0.93457224 0.060077794 -0.46471086 0.36021289 -0.27343981 0.19898573 "sitting" "train" "1"
"35" -0.97480504 -0.9566084 -0.96145787 -0.96576109 -0.99105658 -0.97480504 -0.99915173 -0.9712171 -0.35975545 -0.042807522 0.024715377 -0.10271093 0.10243078 "sitting" "train" "1"
"36" -0.99523836 -0.99550157 -0.99534349 -0.99294196 -0.99471662 -0.99523836 -0.9999346 -0.99429674 -0.81601335 0.39177618 -0.42559557 0.63649773 -0.56700371 "sitting" "train" "1"
"37" -0.99906744 -0.99906531 -0.99911184 -0.99708483 -0.99562855 -0.99906744 -0.99999415 -0.99714322 -0.89046364 0.48517375 -0.4730411 0.74428524 -0.75732721 "sitting" "train" "1"
"38" -0.9980118 -0.9955942 -0.99635346 -0.99266963 -0.99733606 -0.9980118 -0.99997121 -0.99665824 -0.8456995 0.28968221 -0.30881695 0.46743437 -0.38793272 "sitting" "train" "1"
"39" -0.92623334 -0.94594716 -0.95459778 -0.93281186 -0.97992986 -0.92623334 -0.99651168 -0.96212264 -0.16387595 -0.26899364 0.18807959 -0.17130208 0.16744572 "sitting" "train" "1"
"40" -0.96816289 -0.94767986 -0.94899636 -0.96328599 -0.99111715 -0.96816289 -0.99880214 -0.95465736 -0.30477008 0.062678045 -0.0020708403 -0.13059239 0.008951231 "sitting" "train" "1"
"41" -0.99295106 -0.99577426 -0.99602927 -0.99315619 -0.99412884 -0.99295106 -0.99990084 -0.99551693 -0.78870165 0.17341212 -0.095816594 -0.055570522 0.0040910928 "sitting" "train" "1"
"42" -0.9934379 -0.9938755 -0.994775 -0.99211327 -0.99743812 -0.9934379 -0.99990154 -0.99541072 -0.75696481 0.15998704 -0.099612558 0.068190818 -0.14534622 "sitting" "train" "1"
"43" -0.99091407 -0.99281205 -0.99267801 -0.99211327 -0.99743812 -0.99091407 -0.99985491 -0.99038875 -0.73894443 0.12490326 -0.089820714 0.15887968 -0.27416971 "sitting" "train" "1"
"44" -0.98754731 -0.99324099 -0.99400937 -0.98932754 -0.99654809 -0.98754731 -0.99979202 -0.99411719 -0.74299519 0.12619287 -0.24407819 0.48874382 -0.35249588 "sitting" "train" "1"
"45" -0.99012264 -0.99402631 -0.99500811 -0.98932754 -0.99166591 -0.99012264 -0.99984546 -0.99502728 -0.76779236 0.15392026 -0.24916938 0.40747364 -0.2537942 "sitting" "train" "1"
"46" -0.99302412 -0.99767465 -0.99779467 -0.99355314 -0.99166591 -0.99302412 -0.9999082 -0.99715909 -0.84819404 0.25959146 -0.21773012 0.35185554 -0.4915183 "sitting" "train" "1"
"47" -0.99414636 -0.99825604 -0.99843348 -0.99355314 -0.99785034 -0.99414636 -0.99992743 -0.99732715 -0.87549047 0.5108614 -0.42574958 0.35734481 -0.35834366 "sitting" "train" "1"
"48" -0.99354892 -0.99653821 -0.99632057 -0.99420648 -0.99785034 -0.99354892 -0.99991292 -0.99533715 -0.85250968 0.46610292 -0.40713175 0.24366124 -0.11062799 "sitting" "train" "1"
"49" -0.99264098 -0.9949077 -0.99460938 -0.99420648 -0.99394448 -0.99264098 -0.99989269 -0.99179797 -0.80832684 0.31971511 -0.28894223 0.078538333 0.096839904 "sitting" "train" "1"
"50" -0.99205145 -0.99486796 -0.99490685 -0.99454562 -0.99394448 -0.99205145 -0.99988274 -0.99256639 -0.78311216 0.23166246 -0.15803924 -0.05585545 0.064477183 "sitting" "train" "1"
"51" -0.99147471 -0.99536861 -0.9952542 -0.99426681 -0.99224195 -0.99147471 -0.9998747 -0.99385354 -0.82233554 0.32144647 -0.21127758 0.20333304 -0.3894865 "sitting" "train" "1"
"52" -0.90512291 -0.83169609 -0.85064507 -0.82506078 -0.99166499 -0.90512291 -0.99149465 -0.87122077 0.14110184 -0.56793796 0.5682121 -0.62353466 0.37511503 "laying" "train" "1"
"53" -0.98744609 -0.97847045 -0.98200551 -0.97853805 -0.9960341 -0.98744609 -0.99970338 -0.98641994 -0.55813971 0.30315973 -0.18401014 0.12346796 -0.3148711 "laying" "train" "1"
"54" -0.99798763 -0.99609738 -0.99610625 -0.99577738 -0.9960341 -0.99798763 -0.99997267 -0.99525244 -0.82835121 0.47328138 -0.34569743 0.20082354 -0.20746792 "laying" "train" "1"
"55" -0.99950449 -0.99870535 -0.99821243 -0.99713065 -0.99584015 -0.99950449 -0.99999792 -0.99601814 -0.8731739 0.66726788 -0.56256685 0.28008217 -0.073307729 "laying" "train" "1"
"56" -0.99905773 -0.99827359 -0.99801754 -0.99556295 -0.99732613 -0.99905773 -0.99999183 -0.99630612 -0.86877896 0.52387075 -0.39184365 0.3020344 -0.34177077 "laying" "train" "1"
"57" -0.99742945 -0.99587294 -0.99603295 -0.99077011 -0.9978719 -0.99742945 -0.99996509 -0.99449106 -0.84523817 0.42335466 -0.32095966 0.28572655 -0.30605766 "laying" "train" "1"
"58" -0.99741966 -0.99633327 -0.9964458 -0.99077011 -0.9978719 -0.99741966 -0.99996654 -0.99591501 -0.86644394 0.47670727 -0.38671878 0.40997403 -0.42820286 "laying" "train" "1"
"59" -0.99728212 -0.99472458 -0.99583865 -0.98814262 -0.99765236 -0.99728212 -0.99995912 -0.99600836 -0.83114529 0.26616345 -0.21581992 0.4897887 -0.66737491 "laying" "train" "1"
"60" -0.9957705 -0.99389022 -0.99488439 -0.98814262 -0.99658354 -0.9957705 -0.99993602 -0.99340605 -0.79190157 0.1533475 -0.073273016 0.19659756 -0.38180562 "laying" "train" "1"
"61" -0.9958683 -0.99579684 -0.99556074 -0.99496674 -0.99636266 -0.9958683 -0.99994444 -0.99420648 -0.84504869 0.40317196 -0.27907657 0.30027251 -0.43040587 "laying" "train" "1"
"62" -0.99758819 -0.99701193 -0.99709265 -0.99500397 -0.99681427 -0.99758819 -0.99997084 -0.99656948 -0.91233781 0.46827528 -0.32908733 0.30732026 -0.42546527 "laying" "train" "1"
"63" -0.99786725 -0.99868238 -0.99857225 -0.99655929 -0.99681427 -0.99786725 -0.99997922 -0.99736677 -0.94405478 0.51729933 -0.37390475 0.31772283 -0.42206925 "laying" "train" "1"
"64" -0.9973188 -0.99877904 -0.99819081 -0.99717872 -0.99435861 -0.9973188 -0.99997276 -0.99576141 -0.96402265 0.66383564 -0.51568832 0.32646627 -0.30262224 "laying" "train" "1"
"65" -0.72162699 -0.41726279 -0.52045757 -0.48141557 -0.94229416 -0.72162699 -0.9229399 -0.74231718 0.40202058 -0.26728264 0.13477992 -0.065352119 0.15345971 "laying" "train" "1"
"66" -0.94290262 -0.92188864 -0.92012779 -0.94678892 -0.98729403 -0.94290262 -0.99714561 -0.91019487 -0.12782387 -0.16969368 0.062327713 -0.14774023 0.31530219 "laying" "train" "1"
"67" -0.51842779 0.064073395 0.075466839 -0.36572046 -0.98729403 -0.51842779 -0.76076723 0.12828636 0.30829357 -0.66083594 0.52354042 -0.23178802 0.029987075 "laying" "train" "1"
"68" -0.36210824 -0.1266784 -0.15732077 -0.36572046 -0.83342203 -0.36210824 -0.7314856 -0.13567442 0.77204404 -0.6890107 0.55543572 -0.2910512 0.087292089 "laying" "train" "1"
"69" -0.67636425 -0.7780501 -0.80626838 -0.72070646 -0.83342203 -0.67636425 -0.94687524 -0.82980516 0.40518679 -0.84769649 0.7562588 -0.69398854 0.4537469 "laying" "train" "1"
"70" -0.63496006 -0.70007559 -0.77151305 -0.66795693 -0.77397597 -0.63496006 -0.92957914 -0.84057402 0.41994029 -0.32217167 0.38897978 -0.52152016 0.24180411 "laying" "train" "1"
"71" -0.062945893 0.30788151 0.14688483 0.15370675 -0.77397597 -0.062945893 -0.41875061 -0.084678289 0.86177315 -0.36748134 0.29475594 -0.42905464 0.48398864 "laying" "train" "1"
"72" 0.29483896 -0.040902739 -0.18837723 0.15370675 0.12813182 0.29483896 -0.18017445 -0.33463273 0.81506713 -0.37498473 0.27724069 -0.42631768 0.53970046 "laying" "train" "1"
"73" -0.33101576 -0.053417618 -0.046515803 -0.37138266 -0.93115192 -0.33101576 -0.69819115 0.12301778 0.7644171 -0.49982374 0.32248408 -0.43512793 0.65076687 "laying" "train" "1"
"74" -0.84935162 -0.7499689 -0.81281361 -0.77393981 -0.93373801 -0.84935162 -0.98095475 -0.90267392 0.16193509 -0.61429456 0.42809271 -0.4137084 0.52619451 "laying" "train" "1"
"75" -0.95078066 -0.91348682 -0.91488144 -0.94248758 -0.99020523 -0.95078066 -0.99738684 -0.89622326 -0.16277211 -0.032125526 -0.094321064 0.19008096 -0.041641986 "laying" "train" "1"
"76" -0.98981335 -0.9901396 -0.99138237 -0.98458674 -0.99020523 -0.98981335 -0.99982274 -0.99189064 -0.68876959 0.3607517 -0.35261908 0.12398794 0.098052603 "laying" "train" "1"
"77" -0.99056014 -0.99211327 -0.99265755 -0.99190346 -0.99239506 -0.99056014 -0.99984556 -0.99143035 -0.7153608 0.35819912 -0.2965263 0.13806176 -0.087070453 "laying" "train" "1"
"78" -0.9923007 -0.99519865 -0.99470055 -0.99342968 -0.99239506 -0.9923007 -0.99988813 -0.992256 -0.76472242 0.40920583 -0.31908795 0.32474838 -0.4123654 "laying" "train" "1"
"79" -0.22455962 -0.23798068 -0.29045891 -0.23274851 -0.68330152 -0.22455962 -0.67169597 -0.30212121 0.80179191 0.071633848 -0.088398845 -0.10299519 0.29543888 "walking" "train" "1"
"80" -0.12650269 -0.21339031 -0.266052 -0.23274851 -0.7392301 -0.12650269 -0.59914281 -0.25306176 0.87403064 0.046100766 -0.090742163 0.0071522924 0.18194914 "walking" "train" "1"
"81" -0.16010001 -0.2575711 -0.32122499 -0.32191904 -0.7392301 -0.16010001 -0.63151759 -0.38995894 0.857558 0.13941592 -0.20138038 0.10374669 0.17125867 "walking" "train" "1"
"82" -0.07351308 -0.19511453 -0.26850021 -0.21590597 -0.65323438 -0.07351308 -0.55559105 -0.38127494 0.84006762 0.089020914 -0.18594179 0.20284669 0.050840181 "walking" "train" "1"
"83" -0.04949205 -0.21102536 -0.28710281 -0.21590597 -0.87149431 -0.04949205 -0.53976107 -0.39003755 0.87430946 -0.013517842 -0.054098219 0.040023216 0.11557629 "walking" "train" "1"
"84" -0.077394435 -0.23776722 -0.31537169 -0.24153742 -0.87149431 -0.077394435 -0.56671604 -0.40764808 0.87852461 -0.080544239 0.0024097269 -0.014124158 0.16675276 "walking" "train" "1"
"85" -0.09549311 -0.23418525 -0.30637325 -0.24153742 -0.54056759 -0.09549311 -0.57992393 -0.4536278 0.85545042 -0.060648025 0.0008663825 -0.089276388 0.26064287 "walking" "train" "1"
"86" -0.11344328 -0.23084634 -0.29711074 -0.21974984 -0.54056759 -0.11344328 -0.59279251 -0.39806079 0.80867228 0.099839719 -0.13509292 0.030142291 0.16614566 "walking" "train" "1"
"87" -0.1696296 -0.32073899 -0.37802238 -0.27682438 -0.63558527 -0.1696296 -0.64912028 -0.43840012 0.76189413 -0.09730924 0.025193085 0.031041608 0.043228105 "walking" "train" "1"
"88" -0.10747234 -0.24223487 -0.31288324 -0.24253563 -0.7318147 -0.10747234 -0.59044629 -0.38935066 0.80902321 0.053010495 -0.13422509 0.037092793 0.24554462 "walking" "train" "1"
"89" -0.12980293 -0.2590426 -0.34964022 -0.24253563 -0.76363735 -0.12980293 -0.61002745 -0.46726061 0.8142561 0.13822487 -0.29174658 0.43833737 -0.12174706 "walking" "train" "1"
"90" -0.10480876 -0.25305003 -0.3383101 -0.20045673 -0.76363735 -0.10480876 -0.5904248 -0.46297058 0.83072874 0.075965531 -0.2264421 0.49525269 -0.29344057 "walking" "train" "1"
"91" -0.063225767 -0.21278856 -0.28830479 -0.20045673 -0.6579724 -0.063225767 -0.5509673 -0.37800569 0.83174647 -0.059955099 -0.063821 0.2491876 -0.10755216 "walking" "train" "1"
"92" -0.017610633 -0.14299831 -0.23922406 -0.030337918 -0.67998169 -0.017610633 -0.50034333 -0.30633808 0.88867452 -0.090948792 0.030808534 0.047980922 -0.003927862 "walking" "train" "1"
"93" -0.035592505 -0.15547409 -0.24692408 -0.030337918 -0.67998169 -0.035592505 -0.51759155 -0.24437273 0.87266198 -0.0310049 -0.001029174 -0.077989247 0.18664965 "walking" "train" "1"
"94" -0.062178356 -0.22499279 -0.28693811 -0.24192138 -0.67241065 -0.062178356 -0.55245856 -0.28440942 0.85864784 0.11385283 -0.15770049 0.029598921 0.19398987 "walking" "train" "1"
"95" -0.072821245 -0.20792297 -0.28529385 -0.24192138 -0.47215252 -0.072821245 -0.55753575 -0.37913677 0.82268641 0.15275974 -0.18711413 0.080988706 0.12221424 "walking" "train" "1"
"96" -0.089840429 -0.20806055 -0.28236481 -0.26952037 -0.58229609 -0.089840429 -0.57067939 -0.38301423 0.84712927 0.046200262 -0.10453199 -0.0045539705 0.22504337 "walking" "train" "1"
"97" -0.11313628 -0.24002292 -0.29370596 -0.24174021 -0.58229609 -0.11313628 -0.59426808 -0.36187624 0.83072874 0.04514689 -0.05302533 -0.14649964 0.303014 "walking" "train" "1"
"98" -0.20671579 -0.26627391 -0.31070564 -0.24174021 -0.74150823 -0.20671579 -0.66506777 -0.38718964 0.85060551 0.061571107 -0.059400059 -0.051590371 0.14203754 "walking" "train" "1"
"99" -0.046277939 -0.20362526 -0.25324615 -0.20148023 -0.59068005 -0.046277939 -0.53577085 -0.2809758 0.8421752 0.13790633 -0.17940158 0.22557248 -0.10539182 "walking" "train" "1"
"100" -0.0067882519 -0.1833052 -0.25083821 -0.20148023 -0.60002344 -0.0067882519 -0.49956599 -0.32123201 0.85271309 0.21254549 -0.22241296 0.20584455 -0.10126394 "walking" "train" "1"
"101" -0.044258164 -0.24087174 -0.31213 -0.26385898 -0.60002344 -0.044258164 -0.54118813 -0.39214696 0.85654027 0.097592246 -0.14546207 0.11630818 0.036158241 "walking" "train" "1"
"102" -0.041734145 -0.16345806 -0.27968264 0.13897527 -0.71573847 -0.041734145 -0.52416997 -0.37722858 0.8195611 0.09562134 -0.125572 -0.061552056 0.2970981 "walking" "train" "1"
